Ticker,Company Name,Sector,Industry,Market Cap,Last Price,Volume,52 Week High,52 Week Low,Average Volume,P/E Ratio,Dividend Yield,Beta,Last Updated
GPN,Global Payments Inc.,Industrials,Specialty Business Services,19757922304,81.44,1238797,116.16,65.93,2285090,12.358118,1.23,0.824,2025-12-16 17:18:43
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,19606024192,41.43,2563829,44.88,35.36,4170852,21.805264,2.68,0.626,2025-12-16 17:19:55
HUBS,"HubSpot, Inc.",Technology,Software - Application,19514894336,370.35,808793,881.13,344.41,880988,0,0.0,1.459,2025-12-16 17:16:41
EXAS,Exact Sciences Corporation,Healthcare,Diagnostics & Research,19310571520,101.76,2427966,101.95,38.81,5228880,0,0.0,1.419,2025-12-16 17:17:25
U,Unity Software Inc.,Technology,Software - Application,19072075776,44.57,7168713,52.15,15.33,9826592,0,0.0,2.045,2025-12-16 17:17:15
INCY,Incyte Corporation,Healthcare,Biotechnology,19049191424,97.03,2012924,109.28,53.56,2221980,16.445763,0.0,0.815,2025-12-16 17:17:25
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,19046225920,196.76,905989,204.43,122.79,1464190,34.100517,0.89,1.276,2025-12-16 17:18:23
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,18900105216,31.66,15516280,66.44,25.71,28397019,24.929134,0.0,1.516,2025-12-16 17:16:35
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,18788536320,159.04,1451353,162.79,84.68,1641992,32.259636,1.6,0.906,2025-12-16 17:18:23
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,18325080064,203.66,1452268,242.68,172.72,751160,20.571718,2.45,0.902,2025-12-16 17:19:24
XPEV,XPeng Inc.,Consumer Cyclical,Auto Manufacturers,18060894208,18.47,6929526,28.235,11.14,11342392,0,0.0,1.051,2025-12-16 17:20:00
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,17642850304,255.44,626490,316.29,243.25,469552,19.439878,3.97,0.728,2025-12-16 17:19:34
PINS,"Pinterest, Inc.",Communication Services,Internet Content & Information,17528586240,25.78,15227359,40.9,23.68,13607617,9.045614,0.0,0.889,2025-12-16 17:17:13
XPO,"XPO, Inc.",Industrials,Trucking,17446451200,148.15,1099622,161.0,85.06,1350047,53.100357,0.0,1.814,2025-12-16 17:18:24
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,17261824000,124.68,725996,216.0,121.94,1476090,21.533678,0.0,0.947,2025-12-16 17:16:35
USFD,US Foods Holding Corp.,Consumer Defensive,Food Distribution,17221126144,76.48,1571495,85.11,57.361,2018249,31.866667,0.0,1.033,2025-12-16 17:18:11
DKNG,DraftKings Inc.,Consumer Cyclical,Gambling,17193062400,34.54,7999982,53.61,26.23,17115617,0,0.0,1.6,2025-12-16 17:20:31
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,17114424320,104.4,755200,113.95,74.25,1210430,26.564886,0.95,1.208,2025-12-16 17:18:38
DD,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,16947552256,40.45,2862961,41.83,22.497908,7391055,23.381502,3.52,1.137,2025-12-16 17:19:13
LI,Li Auto Inc.,Consumer Cyclical,Auto Manufacturers,16901581824,16.68,3599368,33.12,16.46,4667939,15.444444,0.0,0.485,2025-12-16 17:20:00
EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,16870091776,73.28,1573498,79.32,59.67,2133204,20.076712,3.75,0.634,2025-12-16 17:19:53
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,16775324672,65.26,1412863,69.75,56.3,2051895,20.522013,3.09,0.654,2025-12-16 17:19:55
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,16722350080,75.02,3650480,75.34,51.9,3433817,30.128513,0.0,0.704,2025-12-16 17:17:26
GWRE,"Guidewire Software, Inc.",Technology,Software - Application,16458861568,193.59,2195010,272.6,165.08,783455,180.92522,0.0,1.079,2025-12-16 17:16:47
INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,16453473280,26.84,6322998,35.799,26.02,5023430,28.252632,4.46,0.834,2025-12-16 17:19:36
OKTA,"Okta, Inc.",Technology,Software - Infrastructure,16055285760,90.59,3393599,127.567,75.05,2502752,82.35454,0.0,0.776,2025-12-16 17:16:30
